код                   КАТО,Period,Всего,"Сельское, лесное и рыбное хозяйство",Промышленность,Горнодобывающая промышленность и разработка карьеров,Обрабатывающая промышленность,"Электроснабжение, подача газа, пара и воздушное кондиционирование","Водоснабжение; канализационная система, контроль над сбором и распределением отходов",Строительство,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,Транспорт и складирование,Услуги по проживанию и питанию,Информация и связь,Финансовая и страховая деятельность,Операции с недвижимым имуществом,"Профессиональная, научная и техническая деятельность",Деятельность в области административного и вспомогательного обслуживания,Государственное управление и оборона; обязательное социальное обеспечение,Образование,Здравоохранение и социальные услуги,"Искусство, развлечения и отдых",Предоставление прочих видов услуг,Прочие услуги,КИУФП 1),Чистые налоги на продукты и импорт,КАТО коды,Валовой региональный продукт,Валовая добавленная стоимость,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,2023 год,,,,,,,,,,,,,,,,,,,,,,,,8841170.7,,119442289.7,4568671.3,32012398.6,15365189.3,14677293.6,1690003,279912.7,6720925.6,21816414.2,6716351.2,1305506.8,2595103.4,3934921.8,8942176.8,4188167.1,2821767.4,2442908.7,5337072.7,3490168.7,1047193.4,2661371.3,
,I квартал 2024 года,,,,,,,,,,,,,,,,,,,,,,,,1832253.0,,26023903.8,588856.8,7388870,3276831.5,3530701.1,500202.3,81135.1,1123100.2,4294492.6,1552933.7,233003,491536.7,1031940.2,2320546,1175580,588989.8,542876.3,1117581,723516.7,275956.8,741871,
,I полугодие 2024 года,,,,,,,,,,,,,,,,,,,,,,,,3688521.3,,52342740.3,1319477.6,14880738.1,7336487.4,6492927.4,905060.6,146262.7,2645503.4,8393491.7,3186339.8,445555.7,1168633.7,2068708.1,4402776.4,2153141.9,1139950.4,1205117.2,2457717,1420041.5,434578.9,1332447.6,
,9 месяцев 2024 года,,,,,,,,,,,,,,,,,,,,,,,,6003087.1,,84962626.1,3420995.9,22890711.3,11197477.3,10128056,1334752.5,230425.5,4585485.6,13770226,4760688.6,670471.2,1782258.5,3238362.6,7374629.1,2939199.9,1792873.3,1831082.3,4287170.5,2295568.2,676553.1,2643262.9,
,2024 год3),,,,,,,,,,,,,,,,,,,,,,,,8286490.2,,136693318.3,5306833.1,35717802.5,16430049.2,16941133.3,2016982.3,329637.7,8178260.1,26007101.5,7752756.9,1580662.4,3013049.3,4649709.1,11576195,4252469,3210188.6,2630560.3,5729285.5,4075853.2,1257750.9,3468350.7,
,I квартал 2025 года,,,,,,,,,,,,,,,,,,,,,,,,2005707.0,,30467333.7,587916.3,8617091.7,3714897,4269534,545873,86787.7,1471732.5,5035899.3,1995174.7,263001.8,588674.1,1334137.1,2764125.7,1329408.3,629055.8,665820.9,1265889.8,813964.3,342831.6,756902.8,
,I полугодие 2025 года,,,,,,,,,,,,,,,,,,,,,,,,4367484.9,,61371821.9,1356836.7,17321721.1,8247030.9,7878566.4,1038471.9,157651.9,3199231.8,10048208.7,4177596.3,525010.4,1357846.2,2695496.7,5129800.9,2174988.2,1203682.8,1394177,2776240.2,1656138.8,529940.3,1457420.9,
,9 месяцев 2025 года,,,,,,,,,,,,,,,,,,,,,,,,6978645.7,,99724898.5,3660499.5,26812201.7,12662618.7,12327320,1574587.7,247675.3,5383228.1,16663662.5,6209117.9,806034.4,2104053.1,4162664.5,8436621,3133415.6,1917526.5,2114479.5,5002229.2,2679795.7,811570.2,2781400.2,67753.2
,Абай,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
,2021 год 2),,,,,,,,,,,,,,,,,,,,,,,,98198.9,,1836042.7,246471.5,537850.8,345006.7,171280.6,18798.2,2765.3,131608,202388.5,136560.5,12730.1,8981.6,25408.7,110060.2,24867.1,20195.5,69548.2,98593,56819.4,6740.7,49020,
,Жетісу,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,
,I полугодие 2022 года***,,,,,,,,,,,,,,,,,,,,,,,,125658.3,,1614202.0,51344.7,799820.2,151600.8,512643.7,125032.8,10542.9,66291.3,147858.7,109058,5045.3,10409.1,22222,85402.9,10228.5,20165.2,37905,71535.8,31554.6,8384.3,11318.1,
,Туркестанская 1),,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,
,Ұлытау,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,
,г. Шымкент 1),,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,
